TIC,catogory1,Photometry1,catogory2,Photometry2,Literature,p_TGLC_value,p_TGLC_error,f_p_value,f_p_error
256722647,3,\textttgiants,,,Grunblatt2022,0.059723,0.0040181,-0.117312306,0.075171585
257060897,3,\dagger,,,Montalto2022,0.089671956,0.000326093,0.061800587,0.003411769
257527578,3,QLP,3,SPOC,Ulmer-Moll2022,0.0639075,0.00297485,0.033395384,0.044994777
258920431,2,SPOC,,,Yee2022,0.060247358,0.000596803,0.013616139,0.009771002
260004324,3,SPOC,,,Luque2022,0.0198224,0.00327125,-0.004397749,0.1657537
261867566,3,SPOC,,,Davis2020,0.132482655,0.002048425,0.01055227,0.01529868
262530407,3,SPOC,,,Almenara2022b,0.039457845,0.002093543,0.040892381,0.050888051
263179590,2,SPOC,,,Frame2023,0.0383721,0.00165755,-0.149098634,0.049637326
266980320,3,SPOC,,,Oddo2023,0.0452915,0.002222,0.166735798,0.040879924
267263253,3,SPOC,,,Jones2019,0.101015802,0.000310513,0.060955348,0.002886532
268301217,2,QLP,2,SPOC,Yee2023,0.151496186,0.0066921,0.216790555,0.034597016
268334473,3,SPOC,,,Polanski2024,0.031222055,0.001413699,-0.037489841,0.046976346
268532343,3,QLP,,,Carleo2024,0.05494503,0.001695749,-0.057908836,0.032649872
269333648,2,\texttttesseract,,,Jones2024,0.058707649,0.001510502,-0.060548499,0.027287079
271169413,3,SPOC,,,Mistry2024,0.0365831,0.0029796,0.05185419,0.077224053
271478281,3,SPOC,,,Mistry2023,0.0305461,0.0023861,0.135871587,0.067501148
271971130,3,SPOC,,,Dransfield2024,0.0762742,0.0072595,0.223728589,0.07388268
277634430,3,SPOC,,,Mistry2024,0.055704977,0.001929907,0.032923063,0.033504525
279947414,2,QLP,,,Yee2023,0.148362349,0.001483637,0.042870346,0.009571381
280206394,3,SPOC,,,Jordan2020,0.099262429,0.000970124,0.053700389,0.00924849
280655495,2,QLP,,,Yee2023,0.07887966,0.001246901,-0.00164596,0.015833658
281408474,2,QLP,,,Rodriguez2021,0.0805492,0.0012265,-0.005448928,0.015309688
282485660,3,TESS-SPOC,3,SPOC,Castro-Gonzalez2024,0.061766237,0.001944254,0.002491226,0.031399195
286916251,3,SPOC,,,Polanski2024,0.0288958,0.0047972,0.205242189,0.131943472
287080092,3,SPOC,,,Polanski2024,0.0205516,0.00533735,-0.00199707,0.260223489
287145649,3,QLP,3,TESS-SPOC,Mantovan2024,0.123116252,0.001962292,0.076075565,0.014725997
288735205,3,SPOC,,,Martin2021,0.158280535,0.000728503,0.066765677,0.004295308
289164482,3,SPOC,,,Pelaez-Torres2024,0.0272354,0.00454755,-0.306994511,0.218231526
289580577,3,SPOC,,,Polanski2024,0.026447695,0.001512222,0.11563097,0.050566298
290348383,3,SPOC,,,Barros2023,0.02856575,0.001214921,0.060965937,0.03993778
293607057,4,QLP,4,SPOC,Subjak2024,0.084793118,0.002192959,0.006666755,0.025690045
293954617,3,SPOC,,,Orell-Miquel2023,0.023632787,0.000992895,-0.008246856,0.042359941
296739893,3,SPOC,,,Reefe2022,0.0690166,0.00599095,0.091881775,0.078828729
303432813,3,\textttDIAmante^b,,,Montalto2024,0.0429385,0.00162925,0.124050027,0.033236874
305739565,3,QLP,,,Bouchy2024,0.088555088,0.001615756,0.084758826,0.016699277
306648160,2,TESS-SPOC,,,Schulte2024,0.097595746,0.00124388,0.056495273,0.012025182
306955329,3,SPOC,,,Polanski2024,0.0487951,0.0031782,0.06704129,0.060766949
307958020,3,SPOC,,,Eisner2024,0.0214147,0.00402315,-0.304726494,0.245117158
310002617,2,QLP,2,SPOC,Yee2023,0.114974562,0.000680391,0.064414793,0.005536561
317548889,3,SPOC,,,Polanski2024,0.0184977,0.00166475,0.049287753,0.085561892
318753380,3,SPOC,,,Mistry2023,0.0348886,0.0023258,0.004634971,0.066354625
320004517,3,SPOC,,,Palatnick2021,0.034578119,0.001440237,0.03611853,0.040147277
321669174,3,SPOC,,,Esparza-Borges2022,0.037435795,0.003068454,0.064437849,0.076684082
321857016,3,SPOC,,,Yoshida2023,0.1245538,0.001583188,0.051813061,0.012052287
322807371,3,SPOC,,,Battley2024,0.1110434,0.00348095,0.059364498,0.029486716
328081248,3,SPOC,,,Mistry2024,0.0484236,0.003368,0.06202072,0.065239144
328934463,3,TESS-SPOC,3,SPOC,Carleo2024,0.070411764,0.001561412,0.081050375,0.020378113
332534326,3,TESS-SPOC,,,Mantovan2024,0.1060425,0.00281445,0.051068339,0.025185381
332558858,4,QLP,3,SPOC,Eberhardt2023,0.0907649,0.00445385,0.044522777,0.04688544
333657795,3,SPOC,,,Murgas2022,0.015729659,0.001418933,0.112840947,0.080028372
335630746,3,SPOC,,,Clark2023,0.089006258,0.000874131,0.072369829,0.00911026
336128819,2,SPOC,,,Gan2022,0.060198969,0.002617868,0.019049839,0.042658498
339672028,4,\texttttesseract,3,SPOC,Brahm2020,0.066342432,0.000342158,0.076209727,0.004764406
342642208,3,QLP,3,SPOC,Knudstrup2022,0.072727362,0.001256067,0.03796427,0.016615222
343628284,3,TESS-SPOC,3,SPOC,Hori2024,0.077184542,0.007593113,0.140726128,0.084532
348755728,3,SPOC,,,Pelaez-Torres2024,0.111126833,0.004623901,0.056431663,0.039261145
349095149,3,SPOC,,,Mann2023,0.0203148,0.00659025,-0.273774556,0.413220547
350153977,3,SPOC,,,Hawthorn2023,0.0296278,0.00214695,0.040987983,0.069493882
350618622,3,SPOC,,,Hobson2021,0.083835998,0.000721356,0.061829258,0.008072369
353475866,3,\daggerSPOC,,,Giacalone2022,0.0279054,0.0043214,-0.007033286,0.155948083
358070912,3,\dagger,3,SPOC,Nabbie2024,0.04641292,0.001030011,0.111233703,0.019723806
360156606,4,SPOC,,,Mann2022,0.145986518,0.010838144,-0.073480136,0.079695938
361343239,2,QLP,,,Yee2023,0.111188488,0.001383184,-0.011219579,0.012579569
362249359,3,\daggerSPOC,,,Giacalone2022,0.019046,0.00280155,-0.018871671,0.149869785
365102760,3,\textttgiants,2,SPOC,Grunblatt2024,0.0269293,0.0042835,0.324550328,0.107440174
367858035,3,SPOC,,,Polanski2024,0.042494196,0.002820393,0.058877715,0.062463461
368287008,3,SPOC,,,Jones2024b,0.0872502,0.0054946,-0.069694666,0.06736425
370133522,3,SPOC,,,Luque2022,0.0305717,0.00208645,0.085013063,0.062445808
372172128,3,SPOC,,,Persson2022,0.0302072,0.0039492,-0.021370085,0.133530905
375506058,2,SPOC,,,Addison2021,0.084348833,0.001617343,0.054540616,0.018128672
376637093,3,SPOC,,,Kabath2022,0.12566732,0.000603519,0.024452047,0.004685083
382602147,4,QLP,4,SPOC,Bryant2024,0.179704292,0.002119989,0.041156037,0.011311574
387690507,3,SPOC,,,Gan2022b,0.149906764,0.004524061,-0.053658853,0.031798546
392476080,3,QLP,,,Wong2021,0.0842051,0.00183395,0.031881695,0.02108519
393818343,3,SPOC,,,Sgro2024,0.1103749,0.00161975,0.068106433,0.013675524
393831507,4,QLP,4,SPOC,Knudstrup2022,0.083187722,0.002224808,0.06737814,0.024942437
394137592,3,SPOC,,,Nielsen2019,0.0401903,0.00281875,-0.12302892,0.078763726
394357918,3,SPOC,,,Barkaoui2023,0.103190026,0.007720147,0.080130419,0.068819908
394561119,3,QLP,3,SPOC,Psaridi2022,0.080264264,0.000416162,0.080441275,0.004767824
394722182,2,SPOC,,,Yee2022,0.087421272,0.000838008,0.041970017,0.009183543
394918211,3,\textttgiants,,,Pereira2024,0.031764063,0.002191953,-0.238933791,0.085495505
395171208,2,QLP,,,Rodriguez2021,0.070699782,0.002355447,-0.054081703,0.035117982
